Pattern;Message;
([0-9a-zA-Z]+(?:[_\.\-]?[0-9a-zA-Z]+)*[@](?:[0-9a-zA-Z]+(?:[_\.\-]?[0-9a-zA-Z]+)*\.[a-zA-Z]{2,}|(?:\d{1,}\.){3}\d{1,}));Error: Creating loop in NCA.
(0\.|([1-9]([0-9]+)?)\.){3}(0|([1-9]([0-9]+)?)){1};Error: Creating loop in NCA.
(\d\.?){3};Error: Creating loop in NCA.
(border|margin):(\d+(?:\p{Alpha}*))(\2){3};analýza (border|margin):(\d+(?:\p{Alpha}*))(\2){3} - Neznámá vlastnost Alpha.
^(?:\s+([\w.-]+)\s+\((.+)\)\n){2,};Error: Creating loop in NCA.
^([A-Za-z]+, ){8}[A-Za-z]+ & [A-Za-z]+$;Error: Creating loop in NCA.
\.package\(url:\s\"https:\/\/(www\.)?[-a-zA-Z0-9@:%._+~#=]{2,256}\.[a-z]{2,6}\b([-a-zA-Z0-9@:%_+.~#?&//=]*).git\",\s((\.upToNextMajor|\.upToNextMinor)\(from:\s\"(-?\d+\.){2}-?\d+\"\)|from:\s\"(-?\d+\.){2}-?\d+\")\),?$;Not implemented: word-boundary \b
^([-\w=+/]+\.){2}[-\w=+/]+$;Error: Creating loop in NCA.
^([-*]\s?){3};Error: Creating loop in NCA.
<sip:quaff@(\d+\.){3}\d+:\d+;transport=UDP;ob>$;Error: Creating loop in NCA.
\Apeugeot-206-([a-z0-9]+\-){4}[a-z0-9]+\z;Error: Creating loop in NCA.
ISBN +(?:97[89][ -]?)?(?:\d[ -]?){9}[\dx]\b|(?:RFC|PMID) +\d+;Not implemented: word-boundary \b
\A([\w']+\.? ?){2,3}\z;Error: Creating loop in NCA.
(\n\s+)(criterion .*\n)(\s.+){1,99};Error: Creating loop in NCA.
^(.\udf1a\u0020\ud83c.){3}$;Index je mimo hranice pole.
^\s+[A-Z](\s+\d+,){3};Error: Creating loop in NCA.
CMD(?:\s+\S+){9}\s+(\S+)(?:\s+\S+){2}\s+(\d+):(\d+):(\d+);Error: Creating loop in NCA.
(\u2014|--|__|-\w)|(^Sent from my (\w+\s*){1,3});Error: Creating loop in NCA.
(\[\*[\+\-\=\~]? (PROCESS|WRAPPER|FOREACH|BLOCK|END|INSERT|INCLUDE)\b .* [\+\-\=\~]?\*\].*){2};Not implemented: word-boundary \b
Deployment 'simple1'\s*\n\nInstance\s+Process\s+State\s+AZ\s+IPs\s+VM\s+CID\s+VM\s+Type\s+Active\s*\n(foobar1\/\w+-\w+-\w+-\w+-\w+\s+running\s+-\s+\d+.\d+.\d+.\d+\s+\d+\s+a\s+true\s*\n){2}\n2 vms;Error: Creating loop in NCA.
